Item,Qty,Price (GDP) (each),Link,Notes 
Seeed XIAO ESP32S3 Sense,1,14.5,https://thepihut.com/products/seeed-studio-xiao-esp32s3-sense,
4 pin STEMMA QT connector,1,1,https://thepihut.com/products/stemma-qt-qwiic-jst-sh-4-pin-cable,
"BME280 Temprature, Humidity, Pressure",1,14.4,https://thepihut.com/products/adafruit-bme280-i2c-or-spi-temperature-humidity-pressure-sensor,
Clear Acryclic Pipe,1,12.79,https://amzn.eu/d/07m5pper,
Clear front dome ,1,2.41,https://amzn.eu/d/088AUBxi,
RC Transmitter and Receiver Combo,1,33.99,https://amzn.eu/d/03cTOMFY,
ESC and motor Combo,1,22.82,https://amzn.eu/d/06UWkMx7,
O rings,1,4.99,https://amzn.eu/d/09ixSNSe,
Gorilla Epoxy 25ml,1,5.15,https://amzn.eu/d/03ihNRh2,
10ml Plastic Syringe with 3 ft Soft Tube,1,12,https://amzn.eu/d/0a9LZCgR,
Servos Pack of 4,1,6.69,https://amzn.eu/d/04OM7dTG,
antena extender ,1,9,SMA Male to N-Type Male Antenna Cable - The Pi Hut,
Rechargeable Batteries with Tamiya Plug Connector,1,26,https://amzn.eu/d/0g8rXRDH,
Total:,,165.74,,
